,ndcg@30,recall@30,min,max,mean,q1,q2,q3,q4,mdg_min_10.0,mdg_min_20.0,mdg_min_30.0,mdg_max_10.0,mdg_max_20.0,mdg_max_30.0,small group,large group,dpf,mp_small_group,mp_large_group,item_group_0,item_group_1,item_group_diff,i_epsilon,g_epsilon
0,0.5296603,0.4096876,0.0,0.46700164817947937,0.027098943030821467,0.004108898267736966,0.007960765689943389,0.017899137756343025,0.46700164817947937,4.3407601390530704e-05,0.0012472550150820507,0.0021981336318758348,0.1649286519260942,0.10599830600052824,0.07702501127198605,271,634,0.10210955110642489,0.10468227485009225,0.002572723743667362,170724.0,9816.0,160908.0,15,0.0
1,0.5295509,0.4095713,0.0,0.46692542118303887,0.027127777416180752,0.004233766918619161,0.007982501455077524,0.017919956636837247,0.46692542118303887,7.050761966659726e-05,0.0013382962575539312,0.002300060628350799,0.16481204904973673,0.1058860505223234,0.07694292455802858,271,634,0.1017358020841829,0.10442044022338416,0.0026846381392012634,170297.0,10243.0,160054.0,15,0.005
2,0.52948093,0.40945497,0.0,0.4663836748574806,0.02717317577879793,0.004308503451080444,0.00817897614333815,0.017919956636837247,0.4663836748574806,4.227433855653e-05,0.0013582188986708665,0.002344788471108011,0.16451224467717382,0.10561373058765924,0.0767902238700581,271,634,0.10093406887650691,0.103858785875609,0.00292471699910209,169381.0,11159.0,158222.0,15,0.01
3,0.5293558,0.40929985,0.0,0.4657581049298577,0.027255917146919138,0.004565560464075761,0.008653137484021065,0.017919956636837247,0.4657581049298577,5.073818745245678e-05,0.0014315633334633926,0.0024770684889406356,0.16397382348848485,0.10512395718859745,0.07650255809842431,271,634,0.09963255766899086,0.10294700988544309,0.0033144522164522284,167894.0,12646.0,155248.0,15,0.015
4,0.5287274,0.40848565,0.0,0.4649780543407754,0.0273853230923475,0.004657482773359174,0.009137574526774469,0.018933686306840943,0.4649780543407754,3.1439476973757035e-05,0.0014412346262665514,0.0025017212795558647,0.1630975321335737,0.10445938067458913,0.07628785993378938,271,634,0.09771571230882538,0.10160415198970105,0.003888439680875664,165704.0,14836.0,150868.0,15,0.02
5,0.52806294,0.40747204,0.0,0.4644159609531274,0.027509101077378115,0.004804263528290039,0.009586546203638661,0.020021010071323647,0.4644159609531274,5.747181247568572e-06,0.0013600964775122484,0.002478333147677275,0.16196847923241628,0.10365279004253353,0.07612122826799476,271,634,0.09515296229341252,0.09980881610039856,0.004655853806986042,162776.0,17764.0,145012.0,15,0.025
6,0.5264037,0.4054891,0.0,0.4630967550602429,0.02773814158459031,0.0048260100234006785,0.009786021645584954,0.022405042551725783,0.4630967550602429,1.3076487221284481e-05,0.0014138797735828725,0.002530483393149165,0.16039883537663283,0.10291128930788655,0.07629322136273442,271,634,0.09174205786812155,0.09741929536376052,0.005677237495638971,158879.0,21661.0,137218.0,15,0.03
7,0.524781,0.40333998,0.0,0.46158586108644684,0.028121544729609576,0.004894427864599626,0.009914823962604735,0.024339314067927643,0.46158586108644684,6.314497271717626e-05,0.0015177949426396103,0.002632747743577788,0.15838736717693072,0.10220209019070825,0.0765917797120883,271,634,0.08744978505912035,0.09441233561047768,0.006962550551357329,153975.0,26565.0,127410.0,15,0.035
8,0.5219113,0.3998006,0.0,0.4597518458871682,0.028545190789785665,0.005020654438009001,0.010319303800419342,0.027402751899326463,0.4597518458871682,4.716284813188067e-05,0.0015212313875918946,0.0026755479420436028,0.15599355674964463,0.10160079607827874,0.077076654726644,271,634,0.0823715184472488,0.09085474331000634,0.008483224862757542,148173.0,32367.0,115806.0,15,0.04
9,0.5181387,0.3951479,0.0,0.45754996005659865,0.028997676691094147,0.005090019772133612,0.010948967202153914,0.029316471331123382,0.45754996005659865,3.715087884157766e-05,0.0015602090212813104,0.002734721792462963,0.15357939680020924,0.10118032419201237,0.07773372743703318,271,634,0.07653527355186321,0.08676614796543473,0.010230874413571523,141505.0,39035.0,102470.0,15,0.045
